Gender,Department,Experience_Years,Certifications,Salary,Satisfaction_Score,Age,Performance_Rating,Employment_Type
Male,Marketing,2,2,54267.09,0.18,31,2,Full-time
Male,Marketing,12,2,50578.27,4.32,33,3.7,Full-time
Female,Finance,16,5,29985.68,8.4,51,1.4,Contract
Male,Marketing,0,2,48178.3,3.92,,2,Part-time
Female,Finance,5,3,84177.18,1.79,26,4.2,Part-time
Female,Marketing,20,4,8239.94,7.54,41,4.5,Intern
Female,Engineering,5,1,63046.11,7.89,29,3.4,Part-time
Female,Engineering,11,1,65856.87,1.74,33,3,Part-time
Male,Engineering,12,5,29624.78,7.71,22,,Full-time
Male,Marketing,12,2,42958.42,9.47,41,,Full-time
Male,Finance,14,2,34989.24,1.66,49,1.5,Contract
Female,Finance,20,0,77809.48,7.71,58,1.9,Full-time
Female,Marketing,15,4,66545.38,7.09,,2.4,Full-time
Female,Engineering,20,3,67271.38,4.74,33,2.5,Full-time
Male,Engineering,10,1,51809.71,0.58,,2.4,Full-time
Female,Finance,4,0,69681.38,0.75,49,2,Contract
Female,Engineering,3,0,49876.45,8.52,,3,Full-time
Female,HR,2,5,70387.36,9.9,27,4.3,Intern
Female,Finance,18,1,47769.55,6.76,41,2.1,Intern
Female,Engineering,19,5,39811.37,4.46,35,4.8,Intern
Female,Finance,17,3,77164.25,6.48,,4.5,Intern
Male,HR,14,0,49687.27,5.94,,1.6,Full-time
Female,Finance,8,0,36518,3.84,58,4.1,Intern
Female,Finance,16,4,36355.49,0.66,41,3.3,Full-time
Male,Finance,13,3,,8.22,47,3.3,Contract
Female,Finance,14,0,62666.64,3.72,50,2.6,Intern
Female,HR,0,3,,8.19,22,3,Part-time
Female,Marketing,20,1,84469.38,2.53,56,2.6,Intern
Female,Finance,2,2,67792.67,0.01,27,3.2,Intern
Female,Finance,15,0,53857.07,1.59,58,3.5,
Male,Engineering,10,4,71058.46,4.69,26,3.7,Intern
Male,Finance,11,1,,9.44,54,3.1,Part-time
Female,Engineering,9,3,22178.21,1.02,35,3.9,Full-time
Female,Marketing,15,5,35156.25,8.54,33,1.6,Full-time
Male,HR,7,1,,5.27,41,1.8,Contract
Male,HR,5,0,46661.88,8.26,45,4.3,Contract
Male,Marketing,11,3,62366.23,2.98,55,2.3,Intern
Male,HR,20,2,,8.4,46,1.1,
Female,Marketing,7,1,61220.52,7.73,50,1.6,Contract
Male,Marketing,3,0,72514.57,2.3,52,1.9,Contract
