Student_ID,Department,Gender,Age,GPA,Credits_Completed,Attendance,Scholarship
S1110,CSE,Male,24,7.78,140,83.74,No
S1290,ME,Female,19,7.77,140,72.88,No
S1008,ME,Male,23,7.77,140,96.97,No
S1314,ECE,Male,24,7.77,140,67.38,Yes
S1026,ME,Female,21,7.76,140,96.04,No
S1234,CSE,Male,19,7.76,140,79.51,No
S1051,CE,Male,21,7.75,140,85.71,No
S1083,EEE,Female,19,7.75,140,77.16,Yes
S1074,EEE,Female,20,7.74,140,87.23,Yes
S1333,EEE,Male,24,7.73,140,77.95,No
S1117,ME,Female,22,7.72,140,54.40,No
S1304,ME,Female,19,7.72,140,69.91,Yes
S1208,CE,Male,21,7.71,140,69.71,No
S1289,CE,Male,22,7.71,140,75.90,Yes
S1156,CE,Female,18,7.70,140,67.40,No
S1311,ME,Female,22,7.70,140,74.83,No
S1228,ME,Female,21,7.70,140,59.90,No
S1244,ME,Female,22,7.69,140,68.68,No
S1255,ME,Male,18,7.68,140,54.78,No
S1082,EEE,Female,19,7.68,140,69.30,No
S1278,ME,Male,21,7.68,140,68.33,No
S1222,ME,Male,24,7.67,140,51.34,No
S1342,ME,Female,19,7.67,140,92.96,Yes
S1215,ME,Male,23,7.65,140,78.15,Yes
S1113,ME,Female,24,7.63,140,26.56,No
S1259,ECE,Male,20,7.62,140,58.45,No
S1214,ME,Female,22,7.61,140,71.83,No
S1114,CSE,Female,23,7.61,140,100.00,No
S1163,CSE,Male,18,7.61,140,37.70,Yes
S1016,CE,Female,24,7.60,140,80.47,No
S1300,EEE,Female,24,7.60,140,53.45,No
S1048,ECE,Female,22,7.59,140,51.61,No
S1316,ME,Male,18,7.58,140,78.05,No
S1135,ME,Male,18,7.57,140,52.85,No
S1088,CE,Male,22,7.57,140,46.65,Yes
S1153,CSE,Male,20,7.56,140,90.64,No
S1126,EEE,Female,22,7.56,140,72.26,Yes
S1006,ME,Female,18,7.55,140,54.98,No
S1025,ME,Female,20,7.55,140,59.66,Yes
S1033,CSE,Male,24,7.55,140,61.39,No
S1297,ME,Female,24,7.53,140,50.03,No
S1296,EEE,Male,24,7.53,140,58.21,No
S1241,CSE,Female,19,7.53,140,100.00,No
S1224,CSE,Female,24,7.52,140,59.22,No
S1068,CE,Male,21,7.52,140,69.62,No
S1154,ME,Male,19,7.51,140,67.75,Yes
S1155,CSE,Male,21,7.48,140,71.88,No
S1160,ME,Male,23,7.47,140,93.92,Yes
S1332,CSE,Female,19,7.47,140,70.85,No
S1264,CE,Female,18,7.47,140,40.09,No
S1212,ME,Male,22,7.46,140,71.88,Yes
S1294,CE,Female,24,7.46,140,80.62,Yes
S1338,EEE,Female,24,7.45,140,55.91,No
S1009,EEE,Female,22,7.45,140,79.61,No
S1145,CE,Female,24,7.45,140,76.80,No
S1109,ME,Female,20,7.44,140,40.03,No
S1217,CE,Male,20,7.44,140,70.61,No
S1030,ME,Female,18,7.43,140,65.19,No
S1286,CE,Female,24,7.43,140,88.20,Yes
S1276,EEE,Male,20,7.43,140,72.54,Yes
S1261,ME,Female,19,7.40,140,46.66,Yes
S1209,CE,Male,22,7.40,140,78.29,No
S1125,CE,Male,22,7.37,140,77.44,No
S1157,EEE,Female,23,7.36,140,70.23,No
S1049,CE,Male,19,7.34,140,48.03,No
S1130,ME,Female,18,7.34,140,73.02,No
S1223,CE,Male,24,7.32,140,59.61,Yes
S1197,CSE,Female,19,7.32,140,84.11,Yes
S1308,EEE,Male,24,7.31,140,83.79,No
S1045,CSE,Male,23,7.30,140,79.71,No
S1337,CE,Female,19,7.29,140,40.37,No
S1071,EEE,Female,22,7.28,140,64.44,Yes
S1146,CE,Male,24,7.27,140,66.34,No
S1010,CE,Male,23,7.26,140,61.43,Yes
S1184,ECE,Female,24,7.26,140,71.56,No
S1142,CE,Female,18,7.25,140,74.82,Yes
S1275,ME,Male,18,7.25,140,56.19,Yes
S1164,ME,Female,18,7.25,140,60.42,No
S1140,CSE,Female,23,7.24,140,69.04,No
S1150,CSE,Male,23,7.23,140,78.96,No
S1094,CSE,Female,24,7.23,140,65.18,No
S1143,CE,Female,19,7.23,140,76.33,Yes
S1327,EEE,Male,21,7.22,140,50.32,No
S1303,EEE,Male,19,7.19,140,100.00,No
S1193,ECE,Male,24,7.19,140,90.88,No
S1061,CE,Female,20,7.17,140,90.70,No
S1138,ECE,Female,22,7.16,140,74.54,Yes
S1170,CSE,Male,22,7.16,140,84.73,No
S1067,ECE,Female,22,7.15,140,59.93,No
S1188,CSE,Male,19,7.14,140,44.61,No
S1321,ECE,Male,21,7.14,140,77.12,No
S1216,CE,Female,20,7.14,140,70.73,Yes
S1171,CSE,Male,23,7.13,133,65.13,No
S1185,CE,Male,20,7.13,101,69.06,Yes
S1035,EEE,Female,18,7.12,124,100.00,No
S1063,ECE,Female,24,7.09,56,75.94,No
S1053,EEE,Male,19,7.09,117,63.12,No
S1079,CE,Male,22,7.08,86,87.41,Yes
S1326,ME,Male,18,7.08,51,70.16,No
S1057,ECE,Female,21,7.08,91,83.25,No
S1131,EEE,Female,22,7.07,112,85.76,Yes
S1055,CSE,Male,19,7.07,98,69.42,No
S1302,CSE,Male,22,7.07,67,75.83,No
S1309,EEE,Male,18,7.06,21,65.65,No
S1096,EEE,Female,20,7.06,78,75.73,Yes
S1322,ECE,Male,18,7.05,129,69.62,Yes
S1084,CSE,Male,23,7.04,110,71.15,Yes
S1301,EEE,Male,21,7.04,57,37.71,Yes
S1089,ME,Female,24,7.02,107,63.58,Yes
S1305,CE,Male,23,7.02,105,82.58,No
S1054,ME,Female,21,7.01,107,86.18,Yes
S1093,ME,Male,19,6.99,111,64.76,No
S1123,ME,Female,24,6.99,49,73.26,Yes
S1299,CSE,Female,20,6.98,119,77.62,Yes
S1318,ECE,Female,23,6.98,37,70.42,No
S1198,EEE,Male,20,6.98,30,55.26,No
S1325,CSE,Female,21,6.98,57,78.37,Yes
S1180,CSE,Male,19,6.98,137,78.92,No
S1347,CSE,Male,19,6.97,111,120.00,No
S1226,ECE,Male,23,6.96,21,65.58,Yes
S1161,CSE,Male,23,6.96,79,57.30,No
S1210,ME,Female,19,6.96,65,73.36,No
S1159,ME,Female,22,6.95,82,48.40,No
S1349,EEE,Male,20,6.94,52,200.00,No
S1269,CE,Female,24,6.94,65,76.29,Yes
S1158,CSE,Male,21,6.93,117,53.56,No
S1258,ECE,Female,22,6.92,132,70.51,No
S1012,EEE,Male,21,6.92,132,90.99,No
S1037,EEE,Female,23,6.92,86,76.54,No
S1047,EEE,Male,21,6.90,98,93.61,No
S1001,EEE,Female,23,6.89,139,101.00,Yes
S1246,CE,Male,22,6.89,38,57.94,Yes
S1348,ECE,Male,19,6.88,39,150.00,Yes
S1240,ME,Male,22,6.88,66,84.46,No
S1266,CE,Male,24,6.87,46,88.42,No
S1346,ME,Male,21,6.86,105,10.00,No
S1032,CE,Female,23,6.85,120,77.84,No
S1020,ECE,Male,20,6.84,107,85.74,No
S1263,CSE,Male,24,6.80,34,82.50,No
S1200,ECE,Female,22,6.80,25,78.25,No
S1162,EEE,Female,20,6.79,98,55.13,Yes
S1243,ME,Male,19,6.77,78,49.45,No
S1274,ME,Female,18,6.77,27,78.08,Yes
S1245,ME,Female,23,6.74,25,100.00,Yes
S1022,CE,Female,22,6.74,51,89.76,Yes
S1331,ECE,Male,22,6.73,121,67.20,No
S1104,CSE,Male,18,6.73,61,80.91,No
S1173,CE,Female,20,6.72,110,100.00,Yes
S1227,ECE,Female,21,6.72,66,88.72,Yes
S1118,CSE,Female,24,6.71,61,79.19,No
S1043,ECE,Female,21,6.70,117,44.97,No
S1007,ME,Female,18,6.67,106,65.78,No
S1085,CSE,Male,19,6.65,96,50.76,Yes
S1087,CSE,Male,22,6.64,52,62.59,No
S1256,CSE,Female,23,6.64,54,60.26,Yes
S1034,ME,Female,24,6.64,30,69.63,Yes
S1005,ECE,Female,18,6.64,73,59.77,No
S1307,CE,Female,20,6.61,136,68.52,No
S1027,ECE,Male,18,6.60,130,72.97,Yes
S1011,ME,Female,19,6.59,39,78.59,No
S1329,ECE,Female,20,6.58,108,65.42,No
S1099,CSE,Female,24,6.58,32,73.58,No
S1248,CE,Female,18,6.58,88,95.17,Yes
S1252,CE,Female,19,6.55,57,64.31,Yes
S1250,CSE,Female,18,6.52,20,78.53,Yes
S1015,ECE,Male,22,6.52,54,60.30,No
S1229,CE,Female,18,6.52,103,74.18,No
S1095,ME,Female,18,6.52,78,100.00,No
S1124,CSE,Female,22,6.51,58,83.05,No
S1335,ECE,Male,24,6.50,105,77.30,No
S1330,ME,Male,18,6.50,52,60.86,No
S1065,CE,Female,18,6.49,67,73.91,No
S1132,CE,Female,23,6.49,31,86.58,No
S1292,CSE,Female,20,6.42,44,72.00,No
S1190,ECE,Female,18,6.42,48,55.17,No
S1151,CSE,Male,23,6.39,89,80.52,No
S1174,CE,Male,20,6.39,83,49.16,No
S1340,CSE,Female,21,6.38,95,51.85,Yes
S1111,ME,Male,18,6.37,24,75.20,No
S1179,CSE,Female,23,6.37,29,78.46,Yes
S1039,ECE,Male,20,6.37,48,71.80,No
S1031,CE,Female,18,6.29,33,76.36,No
S1182,CSE,Male,19,6.28,41,81.38,No
S1105,EEE,Male,22,6.26,119,70.78,Yes
S1195,ME,Male,23,6.25,95,46.44,No
S1291,CSE,Male,23,6.22,34,65.36,No
S1239,EEE,Male,22,6.22,40,67.79,No
S1204,CE,Male,18,6.22,70,60.98,No
S1136,CE,Female,20,6.21,32,94.50,No
S1137,ECE,Female,22,6.20,65,52.80,No
S1279,ME,Male,24,6.16,135,56.44,Yes
S1328,ECE,Female,19,6.16,64,54.02,Yes
S1220,ECE,Male,24,6.15,138,48.96,No
S1249,ME,Male,22,6.15,22,61.70,No
S1247,CSE,Female,23,6.09,76,94.59,No
S1172,ECE,Female,19,6.09,87,32.51,No
S1201,ME,Female,22,6.09,130,55.47,Yes
S1076,CSE,Male,23,6.02,112,64.56,No
S1313,CSE,Male,19,6.01,83,84.88,Yes
S1141,EEE,Female,18,6.00,36,74.93,No
S1202,CSE,Male,21,5.94,98,71.58,No
S1273,CE,Male,21,5.93,72,71.14,Yes
S1024,CSE,Female,20,5.87,121,100.00,No
S1133,EEE,Male,18,5.85,58,87.81,No
S1287,EEE,Female,23,5.84,79,72.13,Yes
S1029,CE,Male,24,5.84,92,62.74,Yes
S1018,CSE,Female,23,5.83,81,83.43,No
S1128,EEE,Male,19,5.81,21,100.00,No
S1231,CSE,Female,20,5.80,94,100.00,No
S1219,CSE,Male,20,5.79,34,60.06,No
S1106,ME,Female,18,5.72,82,80.99,No
S1023,CSE,Male,21,5.70,118,72.96,Yes
S1238,EEE,Male,20,5.66,112,70.66,No
S1066,ECE,Male,18,5.63,96,61.75,Yes
S1064,ECE,Female,18,5.46,79,77.41,Yes
S1169,CE,Male,22,5.43,115,100.00,Yes
S1206,EEE,Female,18,5.42,77,46.11,No
S1073,ECE,Male,23,5.29,64,27.27,Yes
S1042,CE,Male,20,5.03,44,66.14,No
S1144,CE,Male,21,5.00,117,94.21,Yes
S1166,CE,Male,24,5.00,41,94.63,Yes
S1003,EEE,Female,24,4.50,24,39.37,No
S1002,ME,Female,18,0.00,25,73.13,No
,,,,,,,
,,,,,,,
